Sl. No.,Cluster size,Perpendicular distance (m)
1,1,3.30764827
2,1,6.653174106
3,1,9.377001594
4,1,9.271838546
5,1,32.73592128
6,1,6.945927107
7,1,118.1600273
8,1,27.50657781
9,1,21.61293028
10,1,6.773813077
11,1,1.881512339
12,1,2.661140852
13,1,8.54475803
14,1,3.742410435
15,1,11.5
16,1,0
17,1,0
18,1,20.08239988
19,1,27.96162697
20,2,30.20539806
21,2,4.380165021
22,1,8.221909119
23,1,6.12574E-16
24,1,16.03811744
25,1,20.13094452
26,1,35.13996244
27,1,4.145187863
28,1,0.418857754
29,1,1.255616527
30,1,97.08743129
31,1,84
32,1,17.14334601
33,1,25.88854382
34,1,13.19225804
35,1,3.299315376
36,2,3.340154423
37,1,37.15861927
38,1,10.54974047
39,1,10.8864853
40,1,2.95201902
41,1,15.84890118
42,1,39.5817087
43,1,3
44,1,15.35842773
45,1,22.36179428
46,2,2.195097729
47,1,31.21208267
48,1,8.205353698
49,1,8.387893552
50,1,14.86289651
51,1,18.23167623
52,1,41.48609759
53,1,34.90629266
54,1,29.32592948
55,1,2.090569265
56,1,64.83879083
57,1,22.77616558
